"lecture6_topic","housing_module_mapping"
"双向或联立关系","房价 log_price 和成交量 log_sales 由需求和供给共同决定。"
"结构方程","需求方程和供给方程。"
"结构系数","价格弹性、利率系数、收入系数、建筑许可系数等。"
"结构误差","需求冲击 u_d 与供给冲击 u_s；系统估计中检查残差相关。"
"内生变量","log_sales 与 log_price。"
"外生变量","mortgage_rate, log_income, unrate, log_permit, months_supply, log_construction_cost。"
"前定变量","月度宏观变量和供给变量可进一步加入滞后项；本模块把需求/供给移动变量作为系统外生变量。"
"OLS 不一致","log_price 由供需共同决定，直接 OLS 估计结构方程会有联立性偏误。"
"识别条件","每个方程右侧 1 个内生变量，并排除 3 个外生变量，两个方程均过度识别。"
"2SLS","手工 2SLS 估计需求方程和供给方程，并输出 HC3 标准误。"
"系统估计","systemfit 2SLS 和 3SLS。"
"过度识别检验","Sargan 与 Hansen-style J。"
"内生性检验","Durbin-Wu-Hausman 残差纳入检验。"
"2SLS 拟合统计量警告","不使用普通 2SLS R2/F 作为结论依据。"
