"item","result","value","interpretation"
"return equation order condition satisfied",TRUE,"","Return equation has enough excluded predetermined variables by the order condition."
"vulnerability equation order condition satisfied",TRUE,"","Reverse equation is mechanically identifiable by the order condition."
"vulnerability equation economic exclusion plausible",FALSE,"","False: factor betas and controls plausibly affect RV directly, so they are weak excluded IVs for CAR."
"primary return first stage strong F>=10",TRUE,"16.416","The strongest predetermined IV is relevant enough for auxiliary IV evidence."
"system return first stage strong F>=10",FALSE,"6.236","The larger historical IV set is only moderate because the instruments are correlated."
"exploratory reverse first stage strong F>=10",FALSE,"5.628","Even if relevant, the reverse equation fails the economic timing/exclusion logic."
"return equation overidentification rejected at 5pct",FALSE,"","Return-equation overidentification tests do not reject in the tested IV sets."
"exploratory reverse overidentification rejected at 5pct",TRUE,"","The exploratory reverse equation has at least one rejection, reinforcing that it should not be main evidence."
"overidentification rejected anywhere at 5pct",TRUE,"","Non-rejection is not proof of validity; rejection is a warning."
"system residuals correlated at 5pct",FALSE,"0.251","A low p-value would motivate 3SLS as an efficiency check, not a fix for identification."
"use SEM as main result",FALSE,"","False: the complete two-way SEM is exploratory; the main result should be the return equation plus robustness checks."
